liwc_feature,behavior,correlation,p_value,significant,n
tone_pos,risk_mean_cards,0.22310682254747005,0.00038864993320644015,True,249
tone_pos,sycophancy_rate,-0.13753814663426323,0.030028321939084758,True,249
tone_neg,risk_mean_cards,-0.04794726403466262,0.45131686423766626,False,249
tone_neg,sycophancy_rate,0.12033779483281129,0.057928296475845055,False,249
emo_anx,risk_mean_cards,0.045356715440519044,0.4761661130947229,False,249
emo_anx,sycophancy_rate,0.010935622676261268,0.8636749028602018,False,249
emo_anger,risk_mean_cards,-0.06720065061191692,0.29084616330789514,False,249
emo_anger,sycophancy_rate,0.17864788206163607,0.004689634949556634,True,249
emo_sad,risk_mean_cards,-0.014112815973387347,0.8246354260053774,False,249
emo_sad,sycophancy_rate,0.06990646993128843,0.2718117301238522,False,249
Social,risk_mean_cards,0.26797073311919706,1.8202252627075542e-05,True,249
Social,sycophancy_rate,-0.07547537380966102,0.23535307535087657,False,249
prosocial,risk_mean_cards,0.06228903849910116,0.3276246140969304,False,249
prosocial,sycophancy_rate,0.04908204262201108,0.4406658194330115,False,249
conflict,risk_mean_cards,-0.0024976174339833915,0.9687201779386452,False,249
conflict,sycophancy_rate,0.07210285133215269,0.25699810153605146,False,249
socrefs,risk_mean_cards,0.2187701574541604,0.0005071005745741385,True,249
socrefs,sycophancy_rate,-0.06360414045858534,0.3174950156932532,False,249
insight,risk_mean_cards,0.09682410988023249,0.12757037178597053,False,249
insight,sycophancy_rate,-0.045379708636468834,0.4759423270303586,False,249
cause,risk_mean_cards,5.6029308101260625e-05,0.9992981178887148,False,249
cause,sycophancy_rate,-0.08926906699960234,0.16021181716409796,False,249
certitude,risk_mean_cards,0.06508844576817407,0.3063099411091506,False,249
certitude,sycophancy_rate,0.11313000610408823,0.07476493827389512,False,249
tentat,risk_mean_cards,-0.08791935988084007,0.1666516840514464,False,249
tentat,sycophancy_rate,0.22488951262709803,0.00034787146646133053,True,249
achieve,risk_mean_cards,-0.0034174392240035704,0.957209959383587,False,249
achieve,sycophancy_rate,0.015075770216754408,0.8128832567339083,False,249
power,risk_mean_cards,-0.010388576094297143,0.8704329890671475,False,249
power,sycophancy_rate,0.07980459705027274,0.20949276553664112,False,249
risk,risk_mean_cards,-0.047381181005512904,0.4566837778968843,False,249
risk,sycophancy_rate,0.1972471128402537,0.0017622194161890756,True,249
reward,risk_mean_cards,0.06761794145407718,0.287853963385188,False,249
reward,sycophancy_rate,0.12612681680120397,0.04679179790527605,True,249
Analytic,risk_mean_cards,-0.12513929211693195,0.04855379163465475,True,249
Analytic,sycophancy_rate,-0.06309878279659528,0.3213631414488788,False,249
Clout,risk_mean_cards,0.14639200279337417,0.02084021603358015,True,249
Clout,sycophancy_rate,-0.09191765448574424,0.14812077291466527,False,249
Authentic,risk_mean_cards,-0.006056644849682574,0.9242415750980257,False,249
Authentic,sycophancy_rate,0.06385009769700711,0.31562342295775275,False,249
Tone,risk_mean_cards,0.20766995861854315,0.0009789776570612158,True,249
Tone,sycophancy_rate,-0.18004839953646068,0.004369876761997042,True,249
i,risk_mean_cards,0.015498184429947666,0.8077410131457867,False,249
i,sycophancy_rate,0.002199020853249044,0.9724581841775763,False,249
we,risk_mean_cards,0.24059392177860905,0.00012614161383857377,True,249
we,sycophancy_rate,-0.06758045963785045,0.2881218814792179,False,249
you,risk_mean_cards,0.07774295014228015,0.22154078090789314,False,249
you,sycophancy_rate,0.1420888314220946,0.02494646937339856,True,249
